Altium Designer Pick and Place Locations
I:\ProjektiOtvoreni\Sjenica\hw\DIMMEXP\DE-020224\Project Outputs for DE-020224\Pick Place for DE-020224.txt

========================================================================================================================
File Design Information:

Date:       06/02/24
Time:       18:57
Revision:   0
Variant:    No variations
Units used: mil

Designator Comment         Layer    Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                 
P15        TERMINAL BLOK 2 TopLayer TERMINAL_BLOK_2         4185.000      240.000       270      2 pinski terminal blok                                                                                      
U30        MOC3051         TopLayer DIP6                    316.063       1605.000      270      Zero-Cross Optoisolator Triac Driver                                                                        
U29        MOC3051         TopLayer DIP6                    4184.468      2360.000      90       Zero-Cross Optoisolator Triac Driver                                                                        
U28        MOC3051         TopLayer DIP6                    868.844       1605.000      270      Zero-Cross Optoisolator Triac Driver                                                                        
U27        MOC3051         TopLayer DIP6                    3631.687      2360.000      90       Zero-Cross Optoisolator Triac Driver                                                                        
U26        MOC3051         TopLayer DIP6                    1421.625      1605.000      270      Zero-Cross Optoisolator Triac Driver                                                                        
U25        MOC3051         TopLayer DIP6                    3078.906      2360.000      90       Zero-Cross Optoisolator Triac Driver                                                                        
U24        MOC3051         TopLayer DIP6                    1974.407      1605.000      270      Zero-Cross Optoisolator Triac Driver                                                                        
U23        MOC3051         TopLayer DIP6                    2526.125      2360.000      90       Zero-Cross Optoisolator Triac Driver                                                                        
U22        MOC3051         TopLayer DIP6                    2527.188      1605.000      270      Zero-Cross Optoisolator Triac Driver                                                                        
U21        MOC3051         TopLayer DIP6                    1973.343      2360.000      90       Zero-Cross Optoisolator Triac Driver                                                                        
U20        MOC3051         TopLayer DIP6                    3079.969      1605.000      270      Zero-Cross Optoisolator Triac Driver                                                                        
U19        MOC3051         TopLayer DIP6                    1420.562      2360.000      90       Zero-Cross Optoisolator Triac Driver                                                                        
U18        MOC3051         TopLayer DIP6                    3632.750      1605.000      270      Zero-Cross Optoisolator Triac Driver                                                                        
U17        MOC3051         TopLayer DIP6                    867.781       2360.000      90       Zero-Cross Optoisolator Triac Driver                                                                        
U16        MOC3051         TopLayer DIP6                    4185.531      1605.000      270      Zero-Cross Optoisolator Triac Driver                                                                        
U15        MOC3051         TopLayer DIP6                    315.000       2360.000      90       Zero-Cross Optoisolator Triac Driver                                                                        
U14        REG1117-3.3     TopLayer ZZ311                   7454.999      2608.425      180      800mA and 1A Low Dropout Positive Regulator 2.85V, 3.3V, 5V, and Adjustable                                 
U13        L7805CV         TopLayer TO220ABN                7425.000      3016.653      360      Positive Voltage Regulator                                                                                  
U12        PC817           TopLayer DIP-4                   5133.150      1205.000      90       4-Pin Phototransistor Optocoupler                                                                           
U11        PC817           TopLayer DIP-4                   5648.150      1200.000      90       4-Pin Phototransistor Optocoupler                                                                           
U10        PC817           TopLayer DIP-4                   6163.150      1200.000      90       4-Pin Phototransistor Optocoupler                                                                           
U9         PC817           TopLayer DIP-4                   6676.575      1205.000      90       4-Pin Phototransistor Optocoupler                                                                           
U8         STM32F103C8T6   TopLayer STM-LQFP48_N            6015.000      1940.000      360      ARM Cortex-M3 32-bit MCU, 64 KB Flash, 20 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 85 degC, Tray       
U7         PC817           TopLayer DIP-4                   6871.850      2740.000      270      4-Pin Phototransistor Optocoupler                                                                           
U6         SN75176BD       TopLayer D008_L                  7413.425      565.000       270      Differential Bus Transceiver                                                                                
U5         PC817           TopLayer DIP-4                   6348.425      2740.000      270      4-Pin Phototransistor Optocoupler                                                                           
U4         PC817           TopLayer DIP-4                   5848.425      2740.000      270      4-Pin Phototransistor Optocoupler                                                                           
U3         PC817           TopLayer DIP-4                   4770.000      1605.000      90       4-Pin Phototransistor Optocoupler                                                                           
U2         PC817           TopLayer DIP-4                   5338.425      2740.000      270      4-Pin Phototransistor Optocoupler                                                                           
U1         PC817           TopLayer DIP-4                   4635.000      2360.000      270      4-Pin Phototransistor Optocoupler                                                                           
R178       330R            TopLayer ERA-0603                540.000       1755.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 330k Ohm Range, 0.1% and 0.5% Tolerance, 0603 Size, 0.063 W 
R177       330R            TopLayer ERA-0603                4120.000      2115.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 330k Ohm Range, 0.1% and 0.5% Tolerance, 0603 Size, 0.063 W 
R176       220R            TopLayer ERA-0805                380.000       1225.000      360      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R175       220R            TopLayer ERA-0805                215.000       1225.000      360      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R174       220R            TopLayer ERA-0805                215.000       1320.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R173       220R            TopLayer ERA-0805                380.000       1320.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R172       220R            TopLayer ERA-0805                4132.303      2740.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R171       220R            TopLayer ERA-0805                4297.303      2740.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R170       220R            TopLayer ERA-0805                4297.303      2640.000      360      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R169       220R            TopLayer ERA-0805                4132.303      2640.000      360      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R168       330R            TopLayer ERA-0603                1090.000      1755.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 330k Ohm Range, 0.1% and 0.5% Tolerance, 0603 Size, 0.063 W 
R167       330R            TopLayer ERA-0603                3565.000      2115.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 330k Ohm Range, 0.1% and 0.5% Tolerance, 0603 Size, 0.063 W 
R166       220R            TopLayer ERA-0805                934.370       1225.000      360      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R165       220R            TopLayer ERA-0805                769.370       1225.000      360      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R164       220R            TopLayer ERA-0805                769.370       1320.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R163       220R            TopLayer ERA-0805                934.370       1320.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R162       220R            TopLayer ERA-0805                3570.000      2740.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R161       220R            TopLayer ERA-0805                3745.000      2740.000      180      Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R160       220R            TopLayer ERA-0805                3745.000      2645.000      0        Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R159       220R            TopLayer ERA-0805                3570.000      2645.000      0        Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W     
R158       100R            TopLayer R6.35x2.3               315.531       760.000       360      Metal Oxide Film Resistor, 0.1 Ohm to 47k Ohm Range, 2% and 5% Tolerance, 0.5 W                             
