Altium Designer Pick and Place Locations
D:\ProjektiOtvoreni\Expanderi\Dimmer\hw\DE-180824\Project Outputs for DE-180824\Pick Place for PCB_BaseBoard.csv

========================================================================================================================
File Design Information:

Date:       19/10/24
Time:       17:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C28","10nF","BottomLayer","0603","1805.000","1510.000","0","Ceramic Chip Capacitor - Standard"
"C27","1uF","BottomLayer","0603","1805.000","1570.000","0","Ceramic Chip Capacitor - Standard"
"C26","100nF","BottomLayer","0603","1575.000","2000.000","180","Ceramic Chip Capacitor - Standard"
"C25","100nF","BottomLayer","0603","2185.000","1700.000","270","Ceramic Chip Capacitor - Standard"
"C24","4u7","BottomLayer","0805","2115.000","1710.000","270","Ceramic Chip Capacitor - Standard"
"U16","24AA01T-I/OT","BottomLayer","SOT-23-OT5_N","2205.000","1850.000","270","1Kbit, 400kHz, 1.8V, I2C Serial EEPROM, 5-Pin SOT-23, Industrial Temperature, Tape and Reel"
"U18","REG1117-3.3","TopLayer","ZZ311","2155.000","1190.000","0","800mA and 1A Low Dropout Positive Regulator 2.85V, 3.3V, 5V, and Adjustable"
"U17","AP63205","TopLayer","TSOT-26","2486.181","1070.000","0","2A synchronous  buck converter"
"U15","TLV803MDBZR","BottomLayer","DBZ3_N","1942.401","1542.598","0","Voltage Supervisor with Active-Low, Open Drain Reset, 1 Supply Monitored, -40 to 125 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)"
"U14","ESDS552","TopLayer","DCK3_N","2259.182","2870.525","90","ESD Protection Array for AC Signal Data Interface, 2 Channels, -40 to +85 degC, 3-pin SC70 (DCK), Green (RoHS & no Sb/Br)"
"U13","SN75176BD","TopLayer","D008_N","2260.000","2605.512","90","Differential Bus Transceiver"
"U12","STM32F030C8T6","BottomLayer","STM-LQFP48_N","1845.000","1860.000","90","ARM Cortex-M0 32-bit MCU, 64 KB Flash, 8 KB Internal RAM, 39 I/Os, 48-pin LQFP, -40 to 85 degC, Tray"
